zip,latitude,longitude,county,state,year,total_pop,male_pop,pct_male,female_pop,pct_female,total_employable_pop,full_time_employed_pop,pct_full_time_employed_pop,total_households,household_median_income,insurable_pop,insured_pop,pct_insured,uninsured_pop,adi_state_rank,adi_natl_rank,ca_doi_underserved_flag,tapestry_seg_nr,tapestry_seg_code,tapestry_seg_name,lifemode_code,lifemode_group,as_only,ed_only,inpatient,inpatient_from_ed,opioid_rx_count,pop_w_opioid_rx,tot_opioid_rx_fills,alz,can,cld,dia,htd,hyp,inj,liv,nep,oth,pnf,stk,sui,total_deaths,total_deaths_per_1000,alzheimers_deaths_per_1000,cancer_deaths_per_1000,clrd_deaths_per_1000,diabetes_deaths_per_1000,heart_disease_deaths_per_1000,hypertension_deaths_per_1000,accidental_deaths_per_1000,chronic_liver_disease_deaths_per_1000,nephrotic_diseases_deaths_per_1000,other_deaths_per_1000,pneumonia_and_influenza_deaths_per_1000,stroke_deaths_per_1000,suicide_deaths_per_1000,c2,c3,c4,c2_c4,as_per_1000,ed_per_1000,ip_per_1000,ip_via_ed_per_1000,c2_per_1000,c3_per_1000,c4_per_1000,c2_c4_per_1000,opioid_rx_per_1000,pop_w_opioid_rx_per_1000
91354,34.465755,-118.553789,Los Angeles,CA,2016,30058,14985,49.9,15073,50.1,19596,10499,67.2,9838,116009,30031,28352,94.4,1679,3.126644737,9.184210526,N,3,1C,Boomburbs,1,Affluent Estates,1204,5217,1243,870,8422,3573,8118,8,43,6,6,18,1,4,2,0,18,1,4,5,116,3.859205536,0.266152106,1.430567569,0.199614079,0.199614079,0.598842238,0.033269013,0.133076053,0.066538026,0,0.598842238,0.033269013,0.133076053,0.166345066,1678,115,823,2616,40.05589194,173.5644421,41.35338346,28.94404152,55.82540422,3.825936523,27.3803979,87.03173864,280.1916295,118.8701843
91355,34.439855,-118.644401,Los Angeles,CA,2016,33129,16316,49.2,16813,50.8,21844,11065,64.9,12530,89889,33014,31017,94,1997,3.645193759,12.43558128,N,9,2D,Enterprising Professionals,2,Upscale Avenues,1368,6798,1364,1420,11177,4543,10718,30,47,15,1,50,6,9,5,2,34,5,11,5,220,6.640707537,0.905551028,1.41869661,0.452775514,0.030185034,1.509251713,0.181110206,0.271665308,0.150925171,0.060370069,1.026291165,0.150925171,0.332035377,0.150925171,53704,8015,47402,109121,41.29312687,205.1978629,41.17238673,42.86274865,1621.05708,241.9330496,1430.830994,3293.821123,337.3781279,137.1306106
91356,34.155097,-118.547553,Los Angeles,CA,2016,29728,14395,48.4,15333,51.6,19073,9021,64,11493,68817,29549,26684,90.3,2865,3.892086331,15.48414602,N,1,1A,Top Tier,1,Affluent Estates,1609,9821,1717,1875,9480,4126,8898,21,68,10,7,58,8,8,1,4,39,11,13,4,252,8.476856835,0.706404736,2.287405813,0.336383208,0.235468245,1.951022605,0.269106566,0.269106566,0.033638321,0.134553283,1.31189451,0.370021529,0.43729817,0.134553283,23691,4893,39546,68130,54.12405813,330.3619483,57.75699677,63.07185145,796.9254575,164.5923036,1330.261033,2291.778794,318.8912809,138.7917115
91360,34.212805,-118.882179,Ventura,CA,2016,43222,20853,48.2,22369,51.8,27496,12568,58.3,15029,90459,43040,38755,90,4285,3.372562514,10.70406056,N,7,2B,Pleasantville,2,Upscale Avenues,1927,10643,1813,2706,16090,6154,15163,45,90,27,13,87,14,14,8,2,65,7,29,4,405,9.370228125,1.041136458,2.082272917,0.624681875,0.300772755,2.012863819,0.32390912,0.32390912,0.185090926,0.046272731,1.503863773,0.16195456,0.670954606,0.092545463,42556,5480,48052,96088,44.58377678,246.2403406,41.94623109,62.60700569,984.5911804,126.7872843,1111.748647,2223.127111,372.2641248,142.3811948
91361,34.136077,-118.888919,Ventura,CA,2016,20808,10091,48.5,10717,51.5,12253,5897,62.7,8570,109966,20685,19719,95.3,966,1.989856802,4.987171838,N,5,1E,Exurbanites,1,Affluent Estates,1108,3303,879,1073,6871,2988,6483,16,31,8,3,35,2,10,0,1,22,2,14,1,145,6.968473664,0.768935025,1.489811611,0.384467512,0.144175317,1.682045367,0.096116878,0.480584391,0,0.048058439,1.057285659,0.096116878,0.672818147,0.048058439,20476,6816,27494,54786,53.24875048,158.7370242,42.24336794,51.56670511,984.0445982,327.5663206,1321.318724,2632.929642,330.2095348,143.5986159
91362,34.193326,-118.818684,Ventura,CA,2016,35862,17827,49.7,18035,50.3,23220,11442,64.1,13481,103894,35776,33571,93.8,2205,3.142534448,12.20871922,N,1,1A,Top Tier,1,Affluent Estates,1727,6364,1416,1573,10736,4473,10192,21,53,12,4,67,8,13,1,1,30,6,12,3,231,6.441358541,0.585578049,1.477887457,0.334616028,0.111538676,1.868272824,0.223077352,0.362500697,0.027884669,0.027884669,0.83654007,0.167308014,0.334616028,0.083654007,5620,1074,6906,13600,48.15682338,177.4580336,39.48469132,43.86258435,156.7118398,29.94813452,192.5715242,379.2314985,299.3698065,124.7281245
91364,34.15404,-118.593153,Los Angeles,CA,2016,27607,13574,49.2,14033,50.8,17590,8451,64,10415,96635,27510,25574,93,1936,2.300347771,6.380018969,N,6,2A,Urban Chic,2,Upscale Avenues,1368,6449,1334,1343,8869,3813,8300,36,56,11,7,81,4,9,7,2,34,7,18,7,279,10.1061325,1.304017097,2.02847104,0.398449669,0.25355888,2.934038469,0.144890789,0.326004274,0.25355888,0.072445394,1.231571703,0.25355888,0.652008549,0.25355888,9249,2172,15211,26632,49.55264969,233.6001739,48.32107799,48.64708226,335.0237259,78.67569819,550.9834462,964.6828703,321.259101,138.1171442
91367,34.177311,-118.615704,Los Angeles,CA,2016,42319,20716,49,21603,51,28169,14473,67.4,17426,80751,42290,39417,93.2,2873,3.904632768,13.88632768,N,5,1E,Exurbanites,2,Upscale Avenues,1864,10880,2084,2065,12114,5303,11591,23,75,19,7,88,5,12,4,4,30,12,13,12,304,7.183534583,0.543491103,1.772253598,0.448970911,0.165410336,2.079444221,0.11815024,0.283560576,0.094520192,0.094520192,0.708901439,0.283560576,0.307190624,0.283560576,41462,7190,42079,90731,44.04640941,257.0949219,49.24501997,48.79604906,979.7490489,169.9000449,994.3287885,2143.977882,286.2544011,125.3101444
91377,34.184975,-118.766918,Ventura,CA,2016,14885,7182,48.2,7703,51.8,9721,4781,66.3,5407,121348,14885,14067,94.5,818,1.944852941,4.401960784,N,4,1D,Savvy Suburbanites,1,Affluent Estates,571,1732,460,423,3325,1491,3170,8,19,0,2,13,1,2,2,1,4,2,5,3,62,4.165267047,0.537453813,1.276452805,0,0.134363453,0.873362445,0.067181727,0.134363453,0.134363453,0.067181727,0.268726906,0.134363453,0.335908633,0.20154518,455,20,152,627,38.36076587,116.3587504,30.90359422,28.41787034,30.56768559,1.343634531,10.21162244,42.12294256,223.3792408,100.1679543
91381,34.384697,-118.647244,Los Angeles,CA,2016,20790,10079,48.5,10711,51.5,13584,7110,68.2,6744,117835,20790,19774,95.1,1016,2.40576725,6.592173018,N,9,2D,Enterprising Professionals,1,Affluent Estates,756,3110,633,591,4390,2061,4247,5,24,4,3,12,4,6,2,0,13,0,4,4,81,3.896103896,0.240500241,1.154401154,0.192400192,0.144300144,0.577200577,0.192400192,0.288600289,0.096200096,0,0.625300625,0,0.192400192,0.192400192,677,307,311,1295,36.36363636,149.5911496,30.44733045,28.42712843,32.56373256,14.76671477,14.95911496,62.28956229,211.1592112,99.13419913
